epoch 780, minibatch 18/122, test error of best model 81.333333 %
epoch 785, minibatch 62/122, test error of best model 82.900000 %
epoch 790, minibatch 84/122, test error of best model 83.066667 %
epoch 795, minibatch 20/122, test error of best model 82.833333 %
epoch 800, minibatch 16/122, test error of best model 78.466667 %
epoch 805, minibatch 108/122, test error of best model 71.400000 %
epoch 810, minibatch 83/122, test error of best model 82.366667 %
epoch 815, minibatch 56/122, test error of best model 75.533333 %
epoch 820, minibatch 106/122, test error of best model 82.033333 %
epoch 825, minibatch 44/122, test error of best model 81.866667 %
epoch 830, minibatch 77/122, test error of best model 83.466667 %
epoch 835, minibatch 76/122, test error of best model 83.533333 %
epoch 840, minibatch 108/122, test error of best model 82.000000 %
epoch 845, minibatch 19/122, test error of best model 82.833333 %
epoch 850, minibatch 67/122, test error of best model 81.300000 %
epoch 855, minibatch 11/122, test error of best model 81.933333 %
epoch 860, minibatch 115/122, test error of best model 81.800000 %
epoch 865, minibatch 17/122, test error of best model 80.333333 %
epoch 870, minibatch 83/122, test error of best model 82.866667 %
epoch 875, minibatch 76/122, test error of best model 83.500000 %
epoch 880, minibatch 11/122, test error of best model 81.733333 %
epoch 885, minibatch 54/122, test error of best model 80.700000 %
epoch 890, minibatch 76/122, test error of best model 79.566667 %
epoch 895, minibatch 120/122, test error of best model 80.933333 %
epoch 900, minibatch 106/122, test error of best model 83.333333 %
epoch 905, minibatch 15/122, test error of best model 82.333333 %
epoch 910, minibatch 80/122, test error of best model 74.766667 %
epoch 915, minibatch 24/122, test error of best model 80.233333 %
epoch 920, minibatch 48/122, test error of best model 61.966667 %
epoch 925, minibatch 99/122, test error of best model 78.866667 %
epoch 930, minibatch 106/122, test error of best model 79.666667 %
epoch 935, minibatch 99/122, test error of best model 83.433333 %
epoch 940, minibatch 57/122, test error of best model 79.266667 %
epoch 945, minibatch 115/122, test error of best model 77.666667 %
epoch 950, minibatch 102/122, test error of best model 80.133333 %
epoch 955, minibatch 80/122, test error of best model 80.800000 %
epoch 960, minibatch 103/122, test error of best model 71.766667 %
epoch 965, minibatch 76/122, test error of best model 82.266667 %
epoch 970, minibatch 56/122, test error of best model 82.000000 %
epoch 975, minibatch 64/122, test error of best model 81.366667 %
epoch 980, minibatch 59/122, test error of best model 82.666667 %
epoch 985, minibatch 80/122, test error of best model 83.133333 %
epoch 990, minibatch 24/122, test error of best model 80.966667 %
epoch 995, minibatch 76/122, test error of best model 80.033333 %
epoch 1000, minibatch 89/122, test error of best model 80.600000 %
